"","year","mun","trat","pto","rs","value","q_minwages"
"359",2006,"Charo",0,0,"rs_w1",11,1
"360",2006,"Alvaro Obregon",0,0,"rs_w1",54,1
"361",2006,"Coeneo",0,0,"rs_w1",32,1
"362",2006,"Jimenez",0,0,"rs_w1",23,1
"363",2006,"Huaniqueo",0,0,"rs_w1",13,1
"364",2006,"Caracuaro",0,0,"rs_w1",20,1
"365",2006,"Cuitzeo",0,0,"rs_w1",65,1
"366",2006,"Chucandiro",0,0,"rs_w1",10,1
"367",2006,"Santa Ana Maya",0,0,"rs_w1",8,1
"368",2006,"Huandacareo",0,0,"rs_w1",28,1
"369",2006,"Copandaro",0,0,"rs_w1",10,1
"370",2006,"Tzitzio",0,0,"rs_w1",20,1
"371",2006,"Apatzingan",1,0,"rs_w1",884,1
"372",2006,"Arteaga",0,0,"rs_w1",21,1
"373",2006,"Charapan",0,0,"rs_w1",32,1
"374",2006,"Cheran",0,0,"rs_w1",39,1
"375",2006,"Gabriel Zamora",0,0,"rs_w1",55,1
"376",2006,"Mugica",0,0,"rs_w1",182,1
"377",2006,"Nuevo Urecho",0,0,"rs_w1",30,1
"378",2006,"Paracuaro",0,0,"rs_w1",34,1
"379",2006,"Paracho",0,0,"rs_w1",343,1
"380",2006,"Taretan",1,0,"rs_w1",502,1
"381",2006,"Uruapan",1,0,"rs_w1",10893,1
"382",2006,"Tingambato",1,0,"rs_w1",101,1
"383",2006,"Tepalcatepec",0,0,"rs_w1",398,1
"384",2006,"Buenavista",0,0,"rs_w1",71,1
"385",2006,"Ziracuaretiro",1,0,"rs_w1",135,1
"386",2006,"Nuevo Parangaricutiro",1,0,"rs_w1",169,1
"387",2006,"Nahuatzen",0,0,"rs_w1",68,1
"388",2006,"Coalcoman",0,0,"rs_w1",84,1
"389",2006,"Tumbiscatio",0,0,"rs_w1",43,1
"390",2006,"Aguililla",0,0,"rs_w1",32,1
"391",2006,"Tancitaro",1,0,"rs_w1",362,1
"392",2006,"Cotija",1,0,"rs_w1",87,1
"393",2006,"Chilchota",1,0,"rs_w1",20,1
"394",2006,"Jacona",0,0,"rs_w1",434,1
"395",2006,"Jiquilpan",0,0,"rs_w1",66,1
"396",2006,"La Piedad",0,0,"rs_w1",588,1
"397",2006,"Los Reyes",1,0,"rs_w1",412,1
"398",2006,"Periban",1,0,"rs_w1",42,1
"399",2006,"Sahuayo",0,0,"rs_w1",153,1
"400",2006,"Tinguindin",1,0,"rs_w1",0,1
"401",2006,"Tocumbo",1,0,"rs_w1",332,1
"402",2006,"Venustiano Carranza",0,0,"rs_w1",20,1
"403",2006,"Zamora",0,0,"rs_w1",1861,1
"404",2006,"Penjamillo",0,0,"rs_w1",20,1
"405",2006,"Pajacuaran",0,0,"rs_w1",30,1
"406",2006,"Vista Hermosa",0,0,"rs_w1",37,1
"407",2006,"Tanhuato",0,0,"rs_w1",20,1
"408",2006,"Brisenas",0,0,"rs_w1",0,1
"409",2006,"Zinaparo",0,0,"rs_w1",0,1
"410",2006,"Churintzio",0,0,"rs_w1",0,1
"411",2006,"Numaran",0,0,"rs_w1",14,1
"412",2006,"Tangancicuaro",1,0,"rs_w1",72,1
"413",2006,"Purepero",1,0,"rs_w1",68,1
"414",2006,"Tlazazalca",0,0,"rs_w1",40,1
"415",2006,"Cojumatlan de Regules",0,0,"rs_w1",0,1
"416",2006,"Chavinda",0,0,"rs_w1",0,1
"417",2006,"Tangamandapio",1,0,"rs_w1",20,1
"418",2006,"Yurecuaro",0,0,"rs_w1",34,1
"419",2006,"Ecuandureo",0,0,"rs_w1",43,1
